RETCAP  GEARRAT CAPINT   WCFTDT   LOGSALE   LOGASST CURRAT QUIKRAT NFATAST  INVTAST FATTOT PAYOUT WCFTCL
0.26   0.46   0.64   0.25   4.11   4.30   1.53   0.18   0.10   0.74   0.12   0.07   0.25
0.57   0.00   1.79   0.33   4.25   4.00   1.73   1.26   0.12   0.27   0.15   0.30   0.33
0.09   0.24   0.36   0.20   4.44   4.88   0.44   0.39   0.94   0.01   0.97   0.57   0.50
0.32   0.45   1.86   0.21   4.71   4.44   1.23   0.69   0.29   0.29   0.52   0.00   0.23
0.17   0.91   1.26   0.12   4.85   4.75   1.76   0.90   0.26   0.33   0.54   0.31   0.21
0.24   0.26   1.54   0.25   5.61   5.42   1.44   1.23   0.42   0.06   0.57   0.15   0.37
0.53   0.52   3.34   0.40   4.83   4.30   0.83   0.83   0.14   0.00   0.21   0.21   0.59
0.26   0.24   1.38   0.37   4.49   4.35   1.45   0.58   0.40   0.36   1.04   0.16   0.44
0.13   0.19   0.91   0.21   4.13   4.17   2.89   1.95   0.06   0.29   0.11   0.39   0.21
0.16   0.29   1.70   0.18   4.40   4.17   2.13   0.56   0.21   0.58   0.40   0.46   0.21
0.06   0.85   1.60   0.01   4.30   4.09   1.31   0.73   0.23   0.34   0.38   0.00   0.01
0.07   0.02   0.15   0.70   3.62   4.45   4.57   4.51   0.54   0.00   0.63   0.00   0.70
-0.18   0.76   0.60   -0.32   4.13   4.35   0.47   0.47   0.54   0.00   0.84   0.00   -0.58
0.12   0.39   2.34   0.11   4.11   3.74   0.85   0.14   0.41   0.49   0.97   0.00   0.11
0.15   0.06   1.19   0.65   4.63   4.55   1.81   1.25   0.65   0.10   0.77   0.26   0.81
0.03   0.00   0.00   1.47   0.00   4.18   12.98   12.98   0.05   0.00   0.06   0.00   1.47
0.08   0.39   1.12   0.08   4.06   4.01   1.43   0.59   0.36   0.36   0.44   0.00   0.09
0.09   0.26   1.42   0.13   4.21   4.06   1.75   0.92   0.31   0.33   0.41   0.60   0.13
0.25   0.15   2.33   0.23   3.99   3.62   1.49   0.79   0.21   0.37   0.49   0.23   0.23
-0.03   0.67   1.62   -0.07   4.51   4.30   1.35   0.57   0.20   0.43   0.41   0.00   -0.07
0.03   0.15   0.00   0.04   1.74   4.24   0.29   0.29   0.00   0.00   0.00   0.00   0.04
0.04   0.34   1.65   0.03   4.24   4.02   1.42   0.71   0.28   0.36   0.43   4.21   0.03
0.17   0.38   1.29   0.14   3.52   3.41   1.12   0.61   0.27   0.33   0.37   0.16   0.15
0.07   0.18   1.20   0.05   4.03   3.96   1.50   0.90   0.21   0.31   0.31   1.66   0.05
0.11   0.45   2.40   0.09   4.35   3.97   1.30   0.86   0.36   0.22   0.60   0.35   0.10
0.04   0.54   3.46   -0.01   4.72   4.18   1.08   0.66   0.49   0.19   0.51   0.00   -0.20
0.04   0.09   2.11   0.46   4.26   3.93   1.32   0.78   0.64   0.15   1.16   0.97   0.55
0.11   0.17   1.16   0.17   4.67   4.60   1.34   0.76   0.32   0.23   0.55   0.71   0.17
0.14   0.35   2.75   0.08   4.82   4.38   1.32   0.30   0.21   0.61   0.25   0.56   0.09
0.29   0.13   1.88   0.34   5.14   4.86   1.71   0.96   0.29   0.30   0.50   0.43   0.37
0.02   0.13   1.53   0.15   4.14   3.96   1.97   1.33   0.43   0.18   0.85   0.00   0.19
0.10   0.59   3.42   0.12   5.06   4.53   0.91   0.58   0.41   0.20   0.57   0.65   0.14
0.14   0.16   1.11   0.26   6.29   6.25   1.09   0.59   0.67   0.11   0.81   0.47   0.39
0.11   0.17   2.03   0.23   4.77   4.46   1.45   0.75   0.45   0.27   0.84   0.67   0.26
0.29   0.43   1.10   0.26   6.23   6.18   1.83   1.17   0.28   0.20   0.43   0.52   0.42
0.04   0.37   0.66   0.05   4.30   4.47   1.23   0.33   0.47   0.39   0.53   1.83   0.05
0.17   0.04   1.68   0.23   4.27   4.05   2.35   1.33   0.11   0.39   0.26   0.71   0.24
0.16   0.17   1.71   0.25   5.24   5.01   1.88   1.05   0.29   0.31   0.65   0.31   0.32
0.14   0.02   1.38   0.39   3.99   3.85   1.37   0.66   0.52   0.24   0.82   0.78   0.39
0.13   0.23   1.49   0.20   4.54   4.37   2.49   1.47   0.32   0.28   0.46   0.58   0.30
